Year,Genre,Genre_order,Genre_count,Year_release_records,Genre_share_pct,Coverage
1989,Action-Adventure,12,3,426,0.7,Sparse (<500 records)
1990,Action,1,123,657,18.72,Regular (500+ records)
1990,Adventure,2,27,657,4.11,Regular (500+ records)
1990,Sports,3,67,657,10.2,Regular (500+ records)
1990,Role-Playing (RPG),4,68,657,10.35,Regular (500+ records)
1990,Shooter,5,78,657,11.87,Regular (500+ records)
1990,Platformer,6,75,657,11.42,Regular (500+ records)
1990,Strategy,7,35,657,5.33,Regular (500+ records)
1990,Puzzle,8,81,657,12.33,Regular (500+ records)
1990,Racing,9,27,657,4.11,Regular (500+ records)
1990,Simulation,10,14,657,2.13,Regular (500+ records)
1990,Fighting,11,11,657,1.67,Regular (500+ records)
1990,Action-Adventure,12,0,657,0.0,Regular (500+ records)
1991,Action,1,131,779,16.82,Regular (500+ records)
1991,Adventure,2,34,779,4.36,Regular (500+ records)
1991,Sports,3,84,779,10.78,Regular (500+ records)
1991,Role-Playing (RPG),4,73,779,9.37,Regular (500+ records)
1991,Shooter,5,93,779,11.94,Regular (500+ records)
1991,Platformer,6,124,779,15.92,Regular (500+ records)
1991,Strategy,7,46,779,5.91,Regular (500+ records)
1991,Puzzle,8,51,779,6.55,Regular (500+ records)
1991,Racing,9,41,779,5.26,Regular (500+ records)
1991,Simulation,10,25,779,3.21,Regular (500+ records)
1991,Fighting,11,13,779,1.67,Regular (500+ records)
1991,Action-Adventure,12,3,779,0.39,Regular (500+ records)
1992,Action,1,143,933,15.33,Regular (500+ records)
1992,Adventure,2,41,933,4.39,Regular (500+ records)
1992,Sports,3,118,933,12.65,Regular (500+ records)
1992,Role-Playing (RPG),4,98,933,10.5,Regular (500+ records)
1992,Shooter,5,91,933,9.75,Regular (500+ records)
1992,Platformer,6,164,933,17.58,Regular (500+ records)
1992,Strategy,7,43,933,4.61,Regular (500+ records)
1992,Puzzle,8,51,933,5.47,Regular (500+ records)
1992,Racing,9,47,933,5.04,Regular (500+ records)
1992,Simulation,10,24,933,2.57,Regular (500+ records)
1992,Fighting,11,36,933,3.86,Regular (500+ records)
1992,Action-Adventure,12,1,933,0.11,Regular (500+ records)
1993,Action,1,140,1034,13.54,Regular (500+ records)
1993,Adventure,2,67,1034,6.48,Regular (500+ records)
1993,Sports,3,140,1034,13.54,Regular (500+ records)
1993,Role-Playing (RPG),4,78,1034,7.54,Regular (500+ records)
1993,Shooter,5,64,1034,6.19,Regular (500+ records)
1993,Platformer,6,196,1034,18.96,Regular (500+ records)
1993,Strategy,7,67,1034,6.48,Regular (500+ records)
1993,Puzzle,8,57,1034,5.51,Regular (500+ records)
1993,Racing,9,41,1034,3.97,Regular (500+ records)
1993,Simulation,10,38,1034,3.68,Regular (500+ records)
1993,Fighting,11,58,1034,5.61,Regular (500+ records)
1993,Action-Adventure,12,3,1034,0.29,Regular (500+ records)
1994,Action,1,115,1163,9.89,Regular (500+ records)
1994,Adventure,2,66,1163,5.67,Regular (500+ records)
1994,Sports,3,174,1163,14.96,Regular (500+ records)
1994,Role-Playing (RPG),4,94,1163,8.08,Regular (500+ records)
1994,Shooter,5,79,1163,6.79,Regular (500+ records)
1994,Platformer,6,194,1163,16.68,Regular (500+ records)
1994,Strategy,7,54,1163,4.64,Regular (500+ records)
1994,Puzzle,8,52,1163,4.47,Regular (500+ records)
1994,Racing,9,50,1163,4.3,Regular (500+ records)
1994,Simulation,10,45,1163,3.87,Regular (500+ records)
1994,Fighting,11,110,1163,9.46,Regular (500+ records)
1994,Action-Adventure,12,3,1163,0.26,Regular (500+ records)
1995,Action,1,94,1153,8.15,Regular (500+ records)
1995,Adventure,2,119,1153,10.32,Regular (500+ records)
1995,Sports,3,158,1153,13.7,Regular (500+ records)
1995,Role-Playing (RPG),4,88,1153,7.63,Regular (500+ records)
1995,Shooter,5,83,1153,7.2,Regular (500+ records)
1995,Platformer,6,114,1153,9.89,Regular (500+ records)
1995,Strategy,7,67,1153,5.81,Regular (500+ records)
1995,Puzzle,8,70,1153,6.07,Regular (500+ records)
1995,Racing,9,49,1153,4.25,Regular (500+ records)
1995,Simulation,10,65,1153,5.64,Regular (500+ records)
1995,Fighting,11,102,1153,8.85,Regular (500+ records)
1995,Action-Adventure,12,0,1153,0.0,Regular (500+ records)
1996,Action,1,64,1228,5.21,Regular (500+ records)
1996,Adventure,2,129,1228,10.5,Regular (500+ records)
1996,Sports,3,159,1228,12.95,Regular (500+ records)
1996,Role-Playing (RPG),4,76,1228,6.19,Regular (500+ records)
1996,Shooter,5,147,1228,11.97,Regular (500+ records)
1996,Platformer,6,87,1228,7.08,Regular (500+ records)
1996,Strategy,7,101,1228,8.22,Regular (500+ records)
1996,Puzzle,8,63,1228,5.13,Regular (500+ records)
1996,Racing,9,68,1228,5.54,Regular (500+ records)
1996,Simulation,10,69,1228,5.62,Regular (500+ records)
1996,Fighting,11,104,1228,8.47,Regular (500+ records)
1996,Action-Adventure,12,8,1228,0.65,Regular (500+ records)
1997,Action,1,73,1040,7.02,Regular (500+ records)
1997,Adventure,2,95,1040,9.13,Regular (500+ records)
1997,Sports,3,123,1040,11.83,Regular (500+ records)
1997,Role-Playing (RPG),4,78,1040,7.5,Regular (500+ records)
1997,Shooter,5,112,1040,10.77,Regular (500+ records)
1997,Platformer,6,44,1040,4.23,Regular (500+ records)
1997,Strategy,7,109,1040,10.48,Regular (500+ records)
1997,Puzzle,8,46,1040,4.42,Regular (500+ records)
1997,Racing,9,84,1040,8.08,Regular (500+ records)
1997,Simulation,10,78,1040,7.5,Regular (500+ records)
1997,Fighting,11,69,1040,6.63,Regular (500+ records)
1997,Action-Adventure,12,4,1040,0.38,Regular (500+ records)
1998,Action,1,79,1096,7.21,Regular (500+ records)
1998,Adventure,2,112,1096,10.22,Regular (500+ records)
1998,Sports,3,134,1096,12.23,Regular (500+ records)
1998,Role-Playing (RPG),4,93,1096,8.49,Regular (500+ records)
1998,Shooter,5,81,1096,7.39,Regular (500+ records)
1998,Platformer,6,44,1096,4.01,Regular (500+ records)
1998,Strategy,7,144,1096,13.14,Regular (500+ records)
1998,Puzzle,8,33,1096,3.01,Regular (500+ records)
1998,Racing,9,89,1096,8.12,Regular (500+ records)
1998,Simulation,10,75,1096,6.84,Regular (500+ records)
1998,Fighting,11,69,1096,6.3,Regular (500+ records)
1998,Action-Adventure,12,7,1096,0.64,Regular (500+ records)
1999,Action,1,107,1272,8.41,Regular (500+ records)
1999,Adventure,2,112,1272,8.81,Regular (500+ records)
1999,Sports,3,159,1272,12.5,Regular (500+ records)
1999,Role-Playing (RPG),4,109,1272,8.57,Regular (500+ records)
1999,Shooter,5,75,1272,5.9,Regular (500+ records)
1999,Platformer,6,68,1272,5.35,Regular (500+ records)
1999,Strategy,7,134,1272,10.53,Regular (500+ records)
1999,Puzzle,8,69,1272,5.42,Regular (500+ records)
1999,Racing,9,117,1272,9.2,Regular (500+ records)
1999,Simulation,10,85,1272,6.68,Regular (500+ records)
1999,Fighting,11,59,1272,4.64,Regular (500+ records)
1999,Action-Adventure,12,6,1272,0.47,Regular (500+ records)
2000,Action,1,172,1552,11.08,Regular (500+ records)
2000,Adventure,2,162,1552,10.44,Regular (500+ records)
2000,Sports,3,219,1552,14.11,Regular (500+ records)
2000,Role-Playing (RPG),4,134,1552,8.63,Regular (500+ records)
2000,Shooter,5,70,1552,4.51,Regular (500+ records)
2000,Platformer,6,72,1552,4.64,Regular (500+ records)
2000,Strategy,7,129,1552,8.31,Regular (500+ records)
2000,Puzzle,8,76,1552,4.9,Regular (500+ records)
2000,Racing,9,171,1552,11.02,Regular (500+ records)
2000,Simulation,10,96,1552,6.19,Regular (500+ records)
2000,Fighting,11,74,1552,4.77,Regular (500+ records)
2000,Action-Adventure,12,3,1552,0.19,Regular (500+ records)
2001,Action,1,172,1478,11.64,Regular (500+ records)
2001,Adventure,2,158,1478,10.69,Regular (500+ records)
2001,Sports,3,212,1478,14.34,Regular (500+ records)
2001,Role-Playing (RPG),4,139,1478,9.4,Regular (500+ records)
2001,Shooter,5,96,1478,6.5,Regular (500+ records)
2001,Platformer,6,78,1478,5.28,Regular (500+ records)
2001,Strategy,7,133,1478,9.0,Regular (500+ records)
2001,Puzzle,8,59,1478,3.99,Regular (500+ records)
2001,Racing,9,137,1478,9.27,Regular (500+ records)
2001,Simulation,10,78,1478,5.28,Regular (500+ records)
2001,Fighting,11,44,1478,2.98,Regular (500+ records)
2001,Action-Adventure,12,10,1478,0.68,Regular (500+ records)
2002,Action,1,187,1726,10.83,Regular (500+ records)
2002,Adventure,2,165,1726,9.56,Regular (500+ records)
2002,Sports,3,319,1726,18.48,Regular (500+ records)
2002,Role-Playing (RPG),4,124,1726,7.18,Regular (500+ records)
2002,Shooter,5,152,1726,8.81,Regular (500+ records)
2002,Platformer,6,103,1726,5.97,Regular (500+ records)
2002,Strategy,7,125,1726,7.24,Regular (500+ records)
2002,Puzzle,8,57,1726,3.3,Regular (500+ records)
2002,Racing,9,154,1726,8.92,Regular (500+ records)
2002,Simulation,10,77,1726,4.46,Regular (500+ records)
2002,Fighting,11,78,1726,4.52,Regular (500+ records)
2002,Action-Adventure,12,11,1726,0.64,Regular (500+ records)
2003,Action,1,200,1723,11.61,Regular (500+ records)
2003,Adventure,2,176,1723,10.21,Regular (500+ records)
2003,Sports,3,230,1723,13.35,Regular (500+ records)
2003,Role-Playing (RPG),4,144,1723,8.36,Regular (500+ records)
2003,Shooter,5,147,1723,8.53,Regular (500+ records)
2003,Platformer,6,114,1723,6.62,Regular (500+ records)
2003,Strategy,7,131,1723,7.6,Regular (500+ records)
2003,Puzzle,8,53,1723,3.08,Regular (500+ records)
2003,Racing,9,183,1723,10.62,Regular (500+ records)
2003,Simulation,10,87,1723,5.05,Regular (500+ records)
2003,Fighting,11,70,1723,4.06,Regular (500+ records)
2003,Action-Adventure,12,10,1723,0.58,Regular (500+ records)
2004,Action,1,191,1606,11.89,Regular (500+ records)
2004,Adventure,2,216,1606,13.45,Regular (500+ records)
2004,Sports,3,189,1606,11.77,Regular (500+ records)
2004,Role-Playing (RPG),4,124,1606,7.72,Regular (500+ records)
2004,Shooter,5,180,1606,11.21,Regular (500+ records)
2004,Platformer,6,100,1606,6.23,Regular (500+ records)
2004,Strategy,7,125,1606,7.78,Regular (500+ records)
2004,Puzzle,8,45,1606,2.8,Regular (500+ records)
2004,Racing,9,103,1606,6.41,Regular (500+ records)
2004,Simulation,10,69,1606,4.3,Regular (500+ records)
2004,Fighting,11,64,1606,3.99,Regular (500+ records)
2004,Action-Adventure,12,11,1606,0.68,Regular (500+ records)
2005,Action,1,282,1810,15.58,Regular (500+ records)
2005,Adventure,2,159,1810,8.78,Regular (500+ records)
2005,Sports,3,196,1810,10.83,Regular (500+ records)
2005,Role-Playing (RPG),4,149,1810,8.23,Regular (500+ records)
2005,Shooter,5,190,1810,10.5,Regular (500+ records)
2005,Platformer,6,110,1810,6.08,Regular (500+ records)
2005,Strategy,7,122,1810,6.74,Regular (500+ records)
2005,Puzzle,8,63,1810,3.48,Regular (500+ records)
2005,Racing,9,138,1810,7.62,Regular (500+ records)
2005,Simulation,10,69,1810,3.81,Regular (500+ records)
2005,Fighting,11,72,1810,3.98,Regular (500+ records)
2005,Action-Adventure,12,15,1810,0.83,Regular (500+ records)
2006,Action,1,288,2096,13.74,Regular (500+ records)
2006,Adventure,2,223,2096,10.64,Regular (500+ records)
2006,Sports,3,240,2096,11.45,Regular (500+ records)
2006,Role-Playing (RPG),4,171,2096,8.16,Regular (500+ records)
2006,Shooter,5,160,2096,7.63,Regular (500+ records)
2006,Platformer,6,116,2096,5.53,Regular (500+ records)
2006,Strategy,7,128,2096,6.11,Regular (500+ records)
2006,Puzzle,8,121,2096,5.77,Regular (500+ records)
2006,Racing,9,170,2096,8.11,Regular (500+ records)
2006,Simulation,10,128,2096,6.11,Regular (500+ records)
2006,Fighting,11,71,2096,3.39,Regular (500+ records)
2006,Action-Adventure,12,13,2096,0.62,Regular (500+ records)
2007,Action,1,296,2525,11.72,Regular (500+ records)
2007,Adventure,2,242,2525,9.58,Regular (500+ records)
2007,Sports,3,262,2525,10.38,Regular (500+ records)
2007,Role-Playing (RPG),4,202,2525,8.0,Regular (500+ records)
2007,Shooter,5,242,2525,9.58,Regular (500+ records)
2007,Platformer,6,145,2525,5.74,Regular (500+ records)
2007,Strategy,7,166,2525,6.57,Regular (500+ records)
2007,Puzzle,8,180,2525,7.13,Regular (500+ records)
2007,Racing,9,144,2525,5.7,Regular (500+ records)
2007,Simulation,10,167,2525,6.61,Regular (500+ records)
2007,Fighting,11,93,2525,3.68,Regular (500+ records)
2007,Action-Adventure,12,9,2525,0.36,Regular (500+ records)
2008,Action,1,271,2936,9.23,Regular (500+ records)
2008,Adventure,2,388,2936,13.22,Regular (500+ records)
2008,Sports,3,337,2936,11.48,Regular (500+ records)
2008,Role-Playing (RPG),4,191,2936,6.51,Regular (500+ records)
2008,Shooter,5,247,2936,8.41,Regular (500+ records)
2008,Platformer,6,140,2936,4.77,Regular (500+ records)
2008,Strategy,7,162,2936,5.52,Regular (500+ records)
2008,Puzzle,8,235,2936,8.0,Regular (500+ records)
2008,Racing,9,133,2936,4.53,Regular (500+ records)
2008,Simulation,10,213,2936,7.25,Regular (500+ records)
2008,Fighting,11,103,2936,3.51,Regular (500+ records)
2008,Action-Adventure,12,18,2936,0.61,Regular (500+ records)
2009,Action,1,551,4360,12.64,Regular (500+ records)
2009,Adventure,2,465,4360,10.67,Regular (500+ records)
2009,Sports,3,345,4360,7.91,Regular (500+ records)
2009,Role-Playing (RPG),4,302,4360,6.93,Regular (500+ records)
2009,Shooter,5,404,4360,9.27,Regular (500+ records)
2009,Platformer,6,184,4360,4.22,Regular (500+ records)
2009,Strategy,7,224,4360,5.14,Regular (500+ records)
2009,Puzzle,8,438,4360,10.05,Regular (500+ records)
2009,Racing,9,228,4360,5.23,Regular (500+ records)
2009,Simulation,10,265,4360,6.08,Regular (500+ records)
2009,Fighting,11,119,4360,2.73,Regular (500+ records)
2009,Action-Adventure,12,12,4360,0.28,Regular (500+ records)
2010,Action,1,442,3586,12.33,Regular (500+ records)
2010,Adventure,2,409,3586,11.41,Regular (500+ records)
2010,Sports,3,316,3586,8.81,Regular (500+ records)
2010,Role-Playing (RPG),4,291,3586,8.11,Regular (500+ records)
2010,Shooter,5,321,3586,8.95,Regular (500+ records)
2010,Platformer,6,150,3586,4.18,Regular (500+ records)
2010,Strategy,7,194,3586,5.41,Regular (500+ records)
2010,Puzzle,8,293,3586,8.17,Regular (500+ records)
2010,Racing,9,152,3586,4.24,Regular (500+ records)
2010,Simulation,10,219,3586,6.11,Regular (500+ records)
2010,Fighting,11,109,3586,3.04,Regular (500+ records)
2010,Action-Adventure,12,22,3586,0.61,Regular (500+ records)
2011,Action,1,454,3386,13.41,Regular (500+ records)
2011,Adventure,2,340,3386,10.04,Regular (500+ records)
2011,Sports,3,221,3386,6.53,Regular (500+ records)
2011,Role-Playing (RPG),4,317,3386,9.36,Regular (500+ records)
2011,Shooter,5,330,3386,9.75,Regular (500+ records)
2011,Platformer,6,191,3386,5.64,Regular (500+ records)
2011,Strategy,7,172,3386,5.08,Regular (500+ records)
2011,Puzzle,8,258,3386,7.62,Regular (500+ records)
2011,Racing,9,172,3386,5.08,Regular (500+ records)
2011,Simulation,10,137,3386,4.05,Regular (500+ records)
2011,Fighting,11,116,3386,3.43,Regular (500+ records)
2011,Action-Adventure,12,13,3386,0.38,Regular (500+ records)
2012,Action,1,157,1584,9.91,Regular (500+ records)
2012,Adventure,2,72,1584,4.55,Regular (500+ records)
2012,Sports,3,96,1584,6.06,Regular (500+ records)
2012,Role-Playing (RPG),4,108,1584,6.82,Regular (500+ records)
2012,Shooter,5,97,1584,6.12,Regular (500+ records)
2012,Platformer,6,49,1584,3.09,Regular (500+ records)
2012,Strategy,7,36,1584,2.27,Regular (500+ records)
2012,Puzzle,8,44,1584,2.78,Regular (500+ records)
2012,Racing,9,41,1584,2.59,Regular (500+ records)
2012,Simulation,10,54,1584,3.41,Regular (500+ records)
2012,Fighting,11,52,1584,3.28,Regular (500+ records)
2012,Action-Adventure,12,65,1584,4.1,Regular (500+ records)
2013,Action,1,187,1740,10.75,Regular (500+ records)
2013,Adventure,2,46,1740,2.64,Regular (500+ records)
2013,Sports,3,67,1740,3.85,Regular (500+ records)
2013,Role-Playing (RPG),4,72,1740,4.14,Regular (500+ records)
2013,Shooter,5,92,1740,5.29,Regular (500+ records)
2013,Platformer,6,71,1740,4.08,Regular (500+ records)
2013,Strategy,7,57,1740,3.28,Regular (500+ records)
2013,Puzzle,8,46,1740,2.64,Regular (500+ records)
2013,Racing,9,34,1740,1.95,Regular (500+ records)
2013,Simulation,10,45,1740,2.59,Regular (500+ records)
2013,Fighting,11,31,1740,1.78,Regular (500+ records)
2013,Action-Adventure,12,72,1740,4.14,Regular (500+ records)
2014,Action,1,431,2896,14.88,Regular (500+ records)
2014,Adventure,2,210,2896,7.25,Regular (500+ records)
2014,Sports,3,81,2896,2.8,Regular (500+ records)
2014,Role-Playing (RPG),4,182,2896,6.28,Regular (500+ records)
2014,Shooter,5,100,2896,3.45,Regular (500+ records)
2014,Platformer,6,97,2896,3.35,Regular (500+ records)
2014,Strategy,7,99,2896,3.42,Regular (500+ records)
2014,Puzzle,8,133,2896,4.59,Regular (500+ records)
2014,Racing,9,57,2896,1.97,Regular (500+ records)
2014,Simulation,10,77,2896,2.66,Regular (500+ records)
2014,Fighting,11,47,2896,1.62,Regular (500+ records)
2014,Action-Adventure,12,96,2896,3.31,Regular (500+ records)
2015,Action,1,387,1680,23.04,Regular (500+ records)
2015,Adventure,2,152,1680,9.05,Regular (500+ records)
2015,Sports,3,109,1680,6.49,Regular (500+ records)
2015,Role-Playing (RPG),4,160,1680,9.52,Regular (500+ records)
2015,Shooter,5,88,1680,5.24,Regular (500+ records)
2015,Platformer,6,70,1680,4.17,Regular (500+ records)
2015,Strategy,7,82,1680,4.88,Regular (500+ records)
2015,Puzzle,8,58,1680,3.45,Regular (500+ records)
2015,Racing,9,49,1680,2.92,Regular (500+ records)
2015,Simulation,10,76,1680,4.52,Regular (500+ records)
2015,Fighting,11,48,1680,2.86,Regular (500+ records)
2015,Action-Adventure,12,54,1680,3.21,Regular (500+ records)
2016,Action,1,268,1352,19.82,Regular (500+ records)
2016,Adventure,2,185,1352,13.68,Regular (500+ records)
2016,Sports,3,76,1352,5.62,Regular (500+ records)
2016,Role-Playing (RPG),4,188,1352,13.91,Regular (500+ records)
2016,Shooter,5,97,1352,7.17,Regular (500+ records)
2016,Platformer,6,67,1352,4.96,Regular (500+ records)
2016,Strategy,7,65,1352,4.81,Regular (500+ records)
2016,Puzzle,8,56,1352,4.14,Regular (500+ records)
2016,Racing,9,30,1352,2.22,Regular (500+ records)
2016,Simulation,10,58,1352,4.29,Regular (500+ records)
2016,Fighting,11,40,1352,2.96,Regular (500+ records)
2016,Action-Adventure,12,66,1352,4.88,Regular (500+ records)
2017,Action,1,318,1558,20.41,Regular (500+ records)
2017,Adventure,2,197,1558,12.64,Regular (500+ records)
2017,Sports,3,66,1558,4.24,Regular (500+ records)
2017,Role-Playing (RPG),4,185,1558,11.87,Regular (500+ records)
2017,Shooter,5,120,1558,7.7,Regular (500+ records)
2017,Platformer,6,101,1558,6.48,Regular (500+ records)
2017,Strategy,7,67,1558,4.3,Regular (500+ records)
2017,Puzzle,8,78,1558,5.01,Regular (500+ records)
2017,Racing,9,79,1558,5.07,Regular (500+ records)
2017,Simulation,10,86,1558,5.52,Regular (500+ records)
2017,Fighting,11,88,1558,5.65,Regular (500+ records)
2017,Action-Adventure,12,44,1558,2.82,Regular (500+ records)
2018,Action,1,231,1538,15.02,Regular (500+ records)
2018,Adventure,2,148,1538,9.62,Regular (500+ records)
2018,Sports,3,98,1538,6.37,Regular (500+ records)
2018,Role-Playing (RPG),4,176,1538,11.44,Regular (500+ records)
2018,Shooter,5,78,1538,5.07,Regular (500+ records)
2018,Platformer,6,122,1538,7.93,Regular (500+ records)
2018,Strategy,7,64,1538,4.16,Regular (500+ records)
2018,Puzzle,8,77,1538,5.01,Regular (500+ records)
2018,Racing,9,83,1538,5.4,Regular (500+ records)
2018,Simulation,10,90,1538,5.85,Regular (500+ records)
2018,Fighting,11,84,1538,5.46,Regular (500+ records)
2018,Action-Adventure,12,110,1538,7.15,Regular (500+ records)
2019,Action,1,144,1290,11.16,Regular (500+ records)
2019,Adventure,2,107,1290,8.29,Regular (500+ records)
2019,Sports,3,50,1290,3.88,Regular (500+ records)
2019,Role-Playing (RPG),4,239,1290,18.53,Regular (500+ records)
2019,Shooter,5,143,1290,11.09,Regular (500+ records)
